id,area,name,other_names,gender,group,term,start_date,end_date,source
,Llanelli,Helen Mary Jones,,female,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Merthyr Tydfil and Rhymney,Huw Lewis,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Merthyr Tydfil and Rhymney,Huw Lewis,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Merthyr Tydfil and Rhymney,Huw Lewis,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Ynys Môn,Ieuan Wyn Jones,,male,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Ynys Môn,Ieuan Wyn Jones,,male,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Ynys Môn,Ieuan Wyn Jones,,male,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Islwyn,Irene James,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Islwyn,Irene James,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Pontypridd,Jane Davidson,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Pontypridd,Jane Davidson,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Pontypridd,Jane Davidson,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Vale of Glamorgan,Jane Hutt,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Vale of Glamorgan,Jane Hutt,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Vale of Glamorgan,Jane Hutt,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales West,Janet Davies,,female,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales West,Janet Davies,,female,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,Janet Ryder,,female,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,North Wales,Janet Ryder,,female,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,North Wales,Janet Ryder,,female,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Ogmore,Janice Gregory,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Ogmore,Janice Gregory,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Ogmore,Janice Gregory,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Caerphilly,Jeffrey Cuthbert,Jeff Cuthbert,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Caerphilly,Jeffrey Cuthbert,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Cardiff Central,Jenny Randerson,,female,Welsh Liberal Democrats,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Cardiff Central,Jenny Randerson,,female,Welsh Liberal Democrats,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Cardiff Central,Jenny Randerson,,female,Welsh Liberal Democrats,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales East,Jocelyn Davies,,female,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales East,Jocelyn Davies,,female,Plaid Cymru,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales East,Jocelyn Davies,,female,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Newport East,John Griffiths,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Newport East,John Griffiths,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Newport East,John Griffiths,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Wrexham,John Marek,,male,John Marek Independent Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Wrexham,John Marek,,male,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales Central,Jonathan Morgan,,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales Central,Jonathan Morgan,,male,Welsh Conservative Party,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Cardiff North,Jonathan Morgan,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Mid and West Wales,Joyce Watson,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Clwyd South,Karen Sinclair,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Clwyd South,Karen Sinclair,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Clwyd South,Karen Sinclair,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Brecon and Radnorshire,Kirsty Williams,,female,Welsh Liberal Democrats,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Brecon and Radnorshire,Kirsty Williams,,female,Welsh Liberal Democrats,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Brecon and Radnorshire,Kirsty Williams,,female,Welsh Liberal Democrats,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales East,Laura Anne Jones,Laura Jones,female,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales Central,Leanne Wood,,female,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales Central,Leanne Wood,,female,Plaid Cymru,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Rhondda,Leighton Andrews,,male,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Rhondda,Leighton Andrews,,male,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Wrexham,Lesley Griffiths,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Mid and West Wales,Lisa Francis,,female,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Meirionnydd Nant Conwy,Dafydd Elis-Thomas,Lord Dafydd Elis-Thomas,male,Plaid Cymru,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Cardiff South and Penarth,Lorraine Barrett,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Cardiff South and Penarth,Lorraine Barrett,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Cardiff South and Penarth,Lorraine Barrett,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Torfaen,Lynne Neagle,,female,Welsh Labour,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Torfaen,Lynne Neagle,,female,Welsh Labour,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Torfaen,Lynne Neagle,,female,Welsh Labour,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,North Wales,Mark Isherwood,,male,Welsh Conservative Party,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,North Wales,Mark Isherwood,,male,Welsh Conservative Party,3,,,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,South Wales East,"Mike German, Baron German",Michael German,male,Welsh Liberal Democrats,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,South Wales East,"Mike German, Baron German",Michael German,male,Welsh Liberal Democrats,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,South Wales East,"Mike German, Baron German",Michael German,male,Welsh Liberal Democrats,3,,2010-07-01,"https://en.wikipedia.org/wiki/National_Assembly_for_Wales_election,_2007"
,Montgomeryshire,Mick Bates,,male,Welsh Liberal Democrats,2,,,http://www.politicsresources.net/area/uk/wassmps03.htm
,Montgomeryshire,Mick Bates,,male,Welsh Liberal Democrats,1,,,http://www.politicsresources.net/area/uk/wassmps.htm
,Montgomeryshire,Mick Bates,,male,Welsh Liberal Democrats,3,,2010-12-10,https://en.wikipedia.org/wiki/Mick_Bates_(politician)
,Montgomeryshire,Mick Bates,,male,Independent Liberal Democrat,3,2010-12-10,,https://en.wikipedia.org/wiki/Mick_Bates_(politician)
,South Wales East,Mohammad Asghar,,male,Plaid Cymru,3,,2009-12-08,https://en.wikipedia.org/wiki/Mohammad_Asghar
,South Wales East,Mohammad Asghar,,male,Welsh Conservative Party,3,2009-12-08,,https://en.wikipedia.org/wiki/Mohammad_Asghar
